stage,encoder_hidden,depth,dropout,lr,weight_decay,seed,best_val_mse,best_epoch,epochs_ran
A,"(256, 128, 64)",3,0.0,0.0003,0.0,0,1.0898300856351852,97,122
A,"(256, 128, 64)",3,0.0,0.0003,1e-05,0,1.0898300856351852,97,122
A,"(256, 128)",2,0.1,0.001,1e-05,0,1.0898825526237488,106,131
A,"(256, 128)",2,0.1,0.001,0.0,0,1.0898825526237488,106,131
A,"(256, 128)",2,0.1,0.001,0.0001,0,1.089925929903984,106,131
A,"(256, 128, 64)",3,0.0,0.0003,0.001,0,1.0904706418514252,97,122
A,"(256, 128)",2,0.1,0.001,0.001,0,1.0908042341470718,106,131
A,"(256, 128)",2,0.2,0.003,0.001,0,1.0908375680446625,62,87
A,"(256, 128, 64)",3,0.1,0.001,0.001,0,1.0910702347755432,81,106
A,"(512, 512)",2,0.2,0.003,0.0001,0,1.091968834400177,62,87
A,"(512, 256)",2,0.0,0.003,0.001,0,1.0925444513559341,31,56
A,"(512, 256)",2,0.1,0.0003,0.0,0,1.0941539853811264,107,132
A,"(512, 256)",2,0.1,0.0003,1e-05,0,1.0941539853811264,107,132
A,"(512, 256)",2,0.1,0.0003,0.0001,0,1.094283401966095,107,132
A,"(512, 256)",2,0.1,0.0003,0.001,0,1.0943789929151535,107,132
A,"(512, 256, 128)",3,0.2,0.003,0.0,0,1.0945290327072144,50,75
A,"(512, 256, 128)",3,0.2,0.003,1e-05,0,1.0945306718349457,50,75
A,"(512, 256)",2,0.0,0.003,0.0001,0,1.0947321653366089,31,56
A,"(256, 128)",2,0.0,0.003,0.001,0,1.0950848013162613,38,63
A,"(512, 256, 128, 64)",4,0.1,0.001,0.001,0,1.0951821058988571,28,53
A,"(512, 256)",2,0.0,0.003,0.0,0,1.0952855199575424,31,56
A,"(512, 256, 128)",3,0.2,0.003,0.001,0,1.0957433581352234,50,75
A,"(512, 256)",2,0.0,0.003,1e-05,0,1.0958634316921234,31,56
A,"(256, 256)",2,0.0,0.001,0.001,0,1.0958674848079681,93,118
A,"(512, 512)",2,0.2,0.001,0.001,0,1.0960180461406708,62,87
A,"(256, 128)",2,0.0,0.0003,0.001,0,1.0960545539855957,134,159
A,"(256, 128)",2,0.0,0.0003,0.0001,0,1.0960967987775803,134,159
A,"(512, 256, 128, 64)",4,0.1,0.001,1e-05,0,1.0961880385875702,28,53
A,"(512, 256, 128, 64)",4,0.1,0.001,0.0,0,1.0961880385875702,28,53
A,"(256, 128)",2,0.0,0.003,1e-05,0,1.0962270349264145,38,63
A,"(512, 256, 128)",3,0.2,0.003,0.0001,0,1.0963277965784073,50,75
A,"(256, 128)",2,0.0,0.0003,0.0,0,1.0964033603668213,134,159
A,"(256, 128)",2,0.0,0.0003,1e-05,0,1.0964033603668213,134,159
A,"(256, 128)",2,0.0,0.003,0.0001,0,1.096630409359932,38,63
A,"(256, 128)",2,0.0,0.003,0.0,0,1.0967050939798355,38,63
A,"(256, 128, 64)",3,0.0,0.003,0.001,0,1.0970194935798645,28,53
A,"(256, 128, 64)",3,0.0,0.003,1e-05,0,1.0973831713199615,28,53
