method,year,mse,mae,rmse,n,eval_seed,sample_frac,sample_n,run_id
zero_shot,2019,12.279952049255373,3.390167474746704,3.5042762518465023,23,1,0.2,,5563bba0f819
zero_shot,post_2005_plus,8.010639190673828,2.6011343002319336,2.830307260824137,437,1,0.2,,5563bba0f819
zero_shot,2005,2.486372947692871,1.31637704372406,1.5768236894760528,34,2,0.2,,02c9fc1fad8f
zero_shot,2006,2.629528760910034,1.4412860870361328,1.6215821782783733,33,2,0.2,,02c9fc1fad8f
zero_shot,2007,2.874117851257324,1.519605040550232,1.6953223443514582,31,2,0.2,,02c9fc1fad8f
zero_shot,2008,3.420982837677002,1.7204920053482056,1.8495899106766889,34,2,0.2,,02c9fc1fad8f
zero_shot,2009,4.802416801452637,2.027071714401245,2.19144171755779,34,2,0.2,,02c9fc1fad8f
zero_shot,2010,5.5982985496521,2.2024359703063965,2.366072388928982,33,2,0.2,,02c9fc1fad8f
zero_shot,2011,6.5751051902771,2.413902759552002,2.564196792423916,32,2,0.2,,02c9fc1fad8f
zero_shot,2012,7.683974266052246,2.5412425994873047,2.7719982442368623,32,2,0.2,,02c9fc1fad8f
zero_shot,2013,8.236090660095215,2.74326753616333,2.86985899655283,32,2,0.2,,02c9fc1fad8f
zero_shot,2014,10.10401725769043,2.997631788253784,3.178681685493285,33,2,0.2,,02c9fc1fad8f
zero_shot,2015,9.815332412719728,3.037381887435913,3.1329430912034977,31,2,0.2,,02c9fc1fad8f
zero_shot,2016,12.515692710876465,3.419274091720581,3.5377524942930174,32,2,0.2,,02c9fc1fad8f
zero_shot,2017,11.214954376220703,3.2562057971954346,3.348873598125301,27,2,0.2,,02c9fc1fad8f
zero_shot,2018,11.246684074401855,3.257854700088501,3.353607620817,29,2,0.2,,02c9fc1fad8f
zero_shot,2019,13.30906581878662,3.4800009727478027,3.648159237038129,23,2,0.2,,02c9fc1fad8f
zero_shot,post_2005_plus,8.152101516723633,2.5878665447235107,2.855188525601004,437,2,0.2,,02c9fc1fad8f
zero_shot,2005,2.870272397994995,1.507245659828186,1.6941878284284169,34,3,0.2,,0617144d8308
zero_shot,2006,2.537948608398437,1.4412506818771362,1.593094036269811,33,3,0.2,,0617144d8308
zero_shot,2007,3.3458480834960938,1.6310769319534302,1.8291659529676616,31,3,0.2,,0617144d8308
zero_shot,2008,2.958528757095337,1.59843111038208,1.7200374289809326,34,3,0.2,,0617144d8308
zero_shot,2009,6.064585208892822,2.20463228225708,2.462637855814944,34,3,0.2,,0617144d8308
zero_shot,2010,6.459688663482666,2.3005402088165283,2.541591757832612,33,3,0.2,,0617144d8308
zero_shot,2011,6.305693626403809,2.37357759475708,2.511114020988256,32,3,0.2,,0617144d8308
zero_shot,2012,7.367370128631592,2.4730772972106934,2.714289986097947,32,3,0.2,,0617144d8308
zero_shot,2013,10.800376892089844,3.15306043624878,3.2863926868361064,32,3,0.2,,0617144d8308
zero_shot,2014,10.406673431396484,3.0308449268341064,3.2259376050067186,33,3,0.2,,0617144d8308
zero_shot,2015,10.825900077819824,2.986642599105835,3.2902735566848884,31,3,0.2,,0617144d8308
zero_shot,2016,10.25300407409668,3.1176085472106934,3.2020312418989105,32,3,0.2,,0617144d8308
zero_shot,2017,10.945616722106934,3.212434768676758,3.3084160442887067,27,3,0.2,,0617144d8308
zero_shot,2018,13.830084800720217,3.5843148231506348,3.718882197747088,29,3,0.2,,0617144d8308
zero_shot,2019,14.366122245788574,3.570392847061157,3.790266777654124,23,3,0.2,,0617144d8308
zero_shot,post_2005_plus,8.139518737792969,2.616044759750366,2.8529841811326206,437,3,0.2,,0617144d8308
zero_shot,2005,2.728543519973755,1.493888258934021,1.6518303544776487,34,4,0.2,,f743cf840dec
zero_shot,2006,2.253997564315796,1.3710556030273438,1.5013319300926746,33,4,0.2,,f743cf840dec
zero_shot,2007,2.292813777923584,1.262593150138855,1.5142040080265222,31,4,0.2,,f743cf840dec
zero_shot,2008,3.095212936401367,1.6653534173965454,1.759321726234678,34,4,0.2,,f743cf840dec
zero_shot,2009,6.07571268081665,2.183345556259156,2.4648960791109733,34,4,0.2,,f743cf840dec
zero_shot,2010,5.329239845275879,2.179906845092773,2.3085146404725005,33,4,0.2,,f743cf840dec
zero_shot,2011,8.961153984069824,2.8209543228149414,2.9935186627228205,32,4,0.2,,f743cf840dec
zero_shot,2012,7.17203950881958,2.5172812938690186,2.678066374983932,32,4,0.2,,f743cf840dec
zero_shot,2013,8.273375511169434,2.7813210487365723,2.8763475991558174,32,4,0.2,,f743cf840dec
zero_shot,2014,9.498908042907717,2.8397011756896973,3.082029857562661,33,4,0.2,,f743cf840dec
zero_shot,2015,11.098894119262695,3.197843074798584,3.3315002805436915,31,4,0.2,,f743cf840dec
zero_shot,2016,11.31592082977295,3.3049535751342773,3.3639145098787737,32,4,0.2,,f743cf840dec
zero_shot,2017,10.29320240020752,3.009978771209717,3.2083021055080705,27,4,0.2,,f743cf840dec
zero_shot,2018,11.404827117919922,3.286036968231201,3.3771033620426727,29,4,0.2,,f743cf840dec
zero_shot,2019,15.370284080505373,3.615125179290772,3.920495387129715,23,4,0.2,,f743cf840dec
zero_shot,post_2005_plus,8.161541938781738,2.6114373207092285,2.8568412519392354,437,4,0.2,,f743cf840dec
zero_shot,2005,2.732405424118042,1.4506899118423462,1.65299891836566,34,5,0.2,,6304bc54da95
zero_shot,2006,3.3401689529418945,1.6795785427093506,1.8276129111335075,33,5,0.2,,6304bc54da95
zero_shot,2007,2.1850955486297607,1.3611741065979004,1.4782068693622556,31,5,0.2,,6304bc54da95
zero_shot,2008,5.821956634521484,2.1515517234802246,2.4128731078366896,34,5,0.2,,6304bc54da95
zero_shot,2009,5.734413146972656,2.145084857940674,2.394663472593311,34,5,0.2,,6304bc54da95
zero_shot,2010,5.94660758972168,2.2398808002471924,2.438566708072937,33,5,0.2,,6304bc54da95
zero_shot,2011,8.022871017456055,2.6231937408447266,2.8324673020983058,32,5,0.2,,6304bc54da95
zero_shot,2012,8.214056015014648,2.679847240447998,2.8660174484839844,32,5,0.2,,6304bc54da95
zero_shot,2013,9.220925331115724,2.937875270843506,3.0365976571017312,32,5,0.2,,6304bc54da95
zero_shot,2014,9.115715980529783,2.873262882232666,3.019224400492581,33,5,0.2,,6304bc54da95
zero_shot,2015,10.550176620483398,3.0406413078308105,3.2481035421432303,31,5,0.2,,6304bc54da95
zero_shot,2016,12.445068359375,3.423760175704956,3.5277568452736365,32,5,0.2,,6304bc54da95
zero_shot,2017,11.127995491027832,3.250002861022949,3.335865028898476,27,5,0.2,,6304bc54da95
zero_shot,2018,12.530755043029783,3.411245822906494,3.5398806537833707,29,5,0.2,,6304bc54da95
zero_shot,2019,13.846200942993164,3.583320617675781,3.721048366118501,23,5,0.2,,6304bc54da95
zero_shot,post_2005_plus,8.270912170410156,2.656764030456543,2.8759193609018587,437,5,0.2,,6304bc54da95
zero_shot,2005,2.3049800395965576,1.2953895330429075,1.5182160714458788,34,6,0.2,,39b47cde85a9
zero_shot,2006,2.452512264251709,1.46296226978302,1.5660498920059058,33,6,0.2,,39b47cde85a9
zero_shot,2007,2.248134136199951,1.4056410789489746,1.4993779164039835,31,6,0.2,,39b47cde85a9
zero_shot,2008,3.894577980041504,1.8160152435302728,1.97346851508746,34,6,0.2,,39b47cde85a9
zero_shot,2009,6.127973556518555,2.2280404567718506,2.4754744103946127,34,6,0.2,,39b47cde85a9
zero_shot,2010,6.494146347045898,2.3298263549804688,2.5483615024258035,33,6,0.2,,39b47cde85a9
zero_shot,2011,6.7607269287109375,2.408210515975952,2.600139790224929,32,6,0.2,,39b47cde85a9
zero_shot,2012,8.74251651763916,2.689281225204468,2.9567746815811247,32,6,0.2,,39b47cde85a9
zero_shot,2013,7.882601737976074,2.715550184249878,2.8075971466676046,32,6,0.2,,39b47cde85a9
zero_shot,2014,9.46816062927246,2.913635730743408,3.0770376385856024,33,6,0.2,,39b47cde85a9
zero_shot,2015,11.080403327941896,3.0116734504699707,3.328723978935757,31,6,0.2,,39b47cde85a9
zero_shot,2016,12.502359390258787,3.4589977264404297,3.535867558359446,32,6,0.2,,39b47cde85a9
zero_shot,2017,9.730926513671877,3.0560243129730225,3.1194433018844685,27,6,0.2,,39b47cde85a9
zero_shot,2018,13.230399131774902,3.4867637157440186,3.637361561870761,29,6,0.2,,39b47cde85a9
zero_shot,2019,13.494010925292969,3.5121114253997803,3.673419513926087,23,6,0.2,,39b47cde85a9
zero_shot,post_2005_plus,8.239784240722656,2.6460297107696533,2.870502436982532,437,6,0.2,,39b47cde85a9
zero_shot,2005,2.6121208667755127,1.3828318119049072,1.6162057006382302,34,7,0.2,,3540c32b7e95
zero_shot,2006,2.755808115005493,1.4387937784194946,1.6600626840590968,33,7,0.2,,3540c32b7e95
zero_shot,2007,2.6493818759918213,1.50702166557312,1.627692193257626,31,7,0.2,,3540c32b7e95
zero_shot,2008,3.815362930297852,1.6837968826293943,1.953295402722756,34,7,0.2,,3540c32b7e95
zero_shot,2009,6.036708831787109,2.150670289993286,2.456971475574576,34,7,0.2,,3540c32b7e95
zero_shot,2010,7.5220842361450195,2.4888722896575928,2.7426418351919413,33,7,0.2,,3540c32b7e95
zero_shot,2011,7.158315181732178,2.5356178283691406,2.6755027904549413,32,7,0.2,,3540c32b7e95
zero_shot,2012,9.306342124938965,2.811807870864868,3.0506297915248526,32,7,0.2,,3540c32b7e95
zero_shot,2013,8.993145942687988,2.915694236755371,2.9988574395405974,32,7,0.2,,3540c32b7e95
zero_shot,2014,9.857367515563965,2.9670498371124268,3.139644488722245,33,7,0.2,,3540c32b7e95
zero_shot,2015,10.564504623413086,3.085913896560669,3.250308388970666,31,7,0.2,,3540c32b7e95
zero_shot,2016,11.408069610595703,3.344771385192871,3.377583398022276,32,7,0.2,,3540c32b7e95
zero_shot,2017,12.664356231689451,3.480391263961792,3.55870148111491,27,7,0.2,,3540c32b7e95
zero_shot,2018,12.793060302734377,3.431978940963745,3.576738780332494,29,7,0.2,,3540c32b7e95
zero_shot,2019,16.64606475830078,3.829280614852905,4.079958916251582,23,7,0.2,,3540c32b7e95
zero_shot,post_2005_plus,8.148924827575684,2.5997462272644043,2.854632170276178,437,7,0.2,,3540c32b7e95
zero_shot,2005,2.199335813522339,1.2773933410644531,1.4830157833018296,34,8,0.2,,2be539d0fff8
zero_shot,2006,2.3648946285247803,1.347419500350952,1.537821390319689,33,8,0.2,,2be539d0fff8
zero_shot,2007,3.475050926208496,1.5526351928710938,1.864148847653668,31,8,0.2,,2be539d0fff8
zero_shot,2008,3.92047119140625,1.8169647455215447,1.9800179775462268,34,8,0.2,,2be539d0fff8
zero_shot,2009,5.560077667236328,2.126830577850342,2.3579816935753186,34,8,0.2,,2be539d0fff8
zero_shot,2010,6.7301836013793945,2.3935976028442383,2.594259740538598,33,8,0.2,,2be539d0fff8
zero_shot,2011,8.42567253112793,2.731917142868042,2.9027009028020663,32,8,0.2,,2be539d0fff8
zero_shot,2012,8.13003921508789,2.633209705352783,2.851322362534249,32,8,0.2,,2be539d0fff8
zero_shot,2013,8.492084503173828,2.7843942642211914,2.9141181347319858,32,8,0.2,,2be539d0fff8
zero_shot,2014,9.146053314208984,2.8540151119232178,3.024244255051001,33,8,0.2,,2be539d0fff8
zero_shot,2015,8.991942405700684,2.7723734378814697,2.998656766904256,31,8,0.2,,2be539d0fff8
zero_shot,2016,11.540657997131348,3.308455228805542,3.397154397011026,32,8,0.2,,2be539d0fff8
zero_shot,2017,9.929770469665527,3.035623073577881,3.151153831482292,27,8,0.2,,2be539d0fff8
zero_shot,2018,13.837937355041504,3.628623962402344,3.719937816018099,29,8,0.2,,2be539d0fff8
zero_shot,2019,13.84257984161377,3.564104080200196,3.720561764251975,23,8,0.2,,2be539d0fff8
zero_shot,post_2005_plus,8.15184497833252,2.5987863540649414,2.855143600299733,437,8,0.2,,2be539d0fff8
zero_shot,2005,2.195033073425293,1.2154420614242554,1.4815644007012632,34,9,0.2,,d96de6180d9a
zero_shot,2006,3.737954378128052,1.7259639501571655,1.9333790052982505,33,9,0.2,,d96de6180d9a
zero_shot,2007,3.453386068344116,1.5521395206451416,1.8583288375161475,31,9,0.2,,d96de6180d9a
zero_shot,2008,6.371632099151611,2.2056314945220947,2.524209202730949,34,9,0.2,,d96de6180d9a
zero_shot,2009,5.441647529602051,2.0573558807373047,2.332733917445805,34,9,0.2,,d96de6180d9a
zero_shot,2010,6.969722747802734,2.368924856185913,2.640023247587554,33,9,0.2,,d96de6180d9a
zero_shot,2011,6.102079391479492,2.294257879257202,2.470238731677465,32,9,0.2,,d96de6180d9a
zero_shot,2012,6.901730537414551,2.543677806854248,2.6271144888288656,32,9,0.2,,d96de6180d9a
zero_shot,2013,8.241659164428711,2.788148880004883,2.87082900299351,32,9,0.2,,d96de6180d9a
zero_shot,2014,10.148670196533203,3.0701608657836914,3.185697756619922,33,9,0.2,,d96de6180d9a
zero_shot,2015,13.881909370422363,3.392456293106079,3.725843444164336,31,9,0.2,,d96de6180d9a
zero_shot,2016,10.527670860290527,3.191864252090454,3.2446372463328665,32,9,0.2,,d96de6180d9a
zero_shot,2017,10.82874584197998,3.2409024238586426,3.2907059792664524,27,9,0.2,,d96de6180d9a
zero_shot,2018,11.73618507385254,3.317934513092041,3.42581159345527,29,9,0.2,,d96de6180d9a
zero_shot,2019,15.690213203430176,3.717011451721192,3.961087376394287,23,9,0.2,,d96de6180d9a
zero_shot,post_2005_plus,8.245461463928223,2.649047613143921,2.8714911568605297,437,9,0.2,,d96de6180d9a
zero_shot,2005,1.8864514827728271,1.1452066898345947,1.3734815189047238,34,10,0.2,,2ab565ef227d
zero_shot,2006,2.8018810749053955,1.5137895345687866,1.6738820373327972,33,10,0.2,,2ab565ef227d
zero_shot,2007,4.188554286956787,1.7886950969696045,2.046595780059361,31,10,0.2,,2ab565ef227d
zero_shot,2008,2.5372228622436523,1.5273224115371704,1.5928662411651684,34,10,0.2,,2ab565ef227d
zero_shot,2009,5.780973434448242,2.067480087280273,2.404365495187502,34,10,0.2,,2ab565ef227d
zero_shot,2010,6.111570358276367,2.283825397491455,2.4721590479328728,33,10,0.2,,2ab565ef227d
