method,year,sample,mse,mae,rmse,n
full_finetune,2008,14,0.6276071667671204,0.5322153568267822,0.792216616063511,34
full_finetune,2008,15,0.48882079124450684,0.4850355088710785,0.6991572006669936,34
full_finetune,2008,16,0.7130880951881409,0.6130897998809814,0.8444454364777756,34
full_finetune,2008,17,1.05839204788208,0.5655338168144226,1.028781827153882,34
full_finetune,2008,18,0.39555731415748596,0.4726322293281555,0.6289334735546248,34
full_finetune,2008,19,0.34248295426368713,0.4522838890552521,0.5852204321994295,34
full_finetune,2008,20,0.40116190910339355,0.48019644618034363,0.6333734357418169,34
full_finetune,2008,21,0.561516284942627,0.514726996421814,0.7493439029862237,34
full_finetune,2008,22,0.35178208351135254,0.4148384928703308,0.5931122014520968,34
full_finetune,2008,23,0.4877069592475891,0.4926048815250397,0.6983601930577008,34
full_finetune,2008,24,0.5527612566947937,0.49451586604118347,0.7434791568664139,34
full_finetune,2008,25,0.30992335081100464,0.44225603342056274,0.5567075990239442,34
full_finetune,2008,26,2.3592264652252197,0.9522640109062195,1.5359773648153867,34
full_finetune,2008,27,1.2609089612960815,0.6442286968231201,1.1229020265793812,34
full_finetune,2008,28,0.780671238899231,0.5847907066345215,0.8835560191064463,34
full_finetune,2008,29,0.28442487120628357,0.40636739134788513,0.5333149831068724,34
full_finetune,2008,30,0.4799070358276367,0.44817644357681274,0.6927532286663388,34
full_finetune,2008,31,0.5221211910247803,0.5866013169288635,0.7225795395835536,34
full_finetune,2008,32,0.16172370314598083,0.3275302052497864,0.402148856949738,34
full_finetune,2008,33,0.3068433105945587,0.4149121642112732,0.5539343919586134,34
full_finetune,2008,34,0.4770727753639221,0.45011746883392334,0.6907045499806137,34
full_finetune,2008,35,0.5343342423439026,0.5249186754226685,0.7309816976805251,34
full_finetune,2008,36,1.9229896068572998,0.709062933921814,1.3867190078950025,34
full_finetune,2008,37,1.075390100479126,0.566140353679657,1.037010173758737,34
full_finetune,2008,38,1.1368129253387451,0.7063126564025879,1.0662142961613041,34
full_finetune,2008,39,0.22147108614444733,0.36392590403556824,0.4706071462955565,34
full_finetune,2008,40,0.31048426032066345,0.4246060848236084,0.5572111451870497,34
full_finetune,2008,41,0.2806004285812378,0.4133560359477997,0.5297173100638092,34
full_finetune,2008,42,1.004167079925537,0.5458359122276306,1.0020813739041041,34
full_finetune,2008,43,0.6827169060707092,0.6494861841201782,0.8262668491902052,34
full_finetune,2008,44,0.989570140838623,0.5920238494873047,0.9947714012971136,34
full_finetune,2008,45,1.1166086196899414,0.6431830525398254,1.0566970330657417,34
full_finetune,2008,46,0.6896585822105408,0.5767025947570801,0.8304568515043637,34
full_finetune,2008,47,0.8955003023147583,0.5648829340934753,0.9463087774689392,34
full_finetune,2008,48,0.3533766269683838,0.4076339304447174,0.5944548990195839,34
full_finetune,2008,49,0.3176845610141754,0.40143194794654846,0.5636351311036027,34
full_finetune,2009,0,0.7346177101135254,0.6405520439147949,0.8570984249860254,34
full_finetune,2009,1,1.5755597352981567,0.9071797728538513,1.2552130238721062,34
full_finetune,2009,2,0.61690753698349,0.5692766308784485,0.7854346166190347,34
full_finetune,2009,3,1.18205726146698,0.6576800346374512,1.0872245680939059,34
full_finetune,2009,4,0.3906639814376831,0.49782249331474304,0.6250311843721744,34
full_finetune,2009,5,1.0572309494018555,0.8370468616485596,1.0282173648610762,34
full_finetune,2009,6,0.8167283535003662,0.698373019695282,0.9037302437676666,34
full_finetune,2009,7,1.8987971544265747,0.9243630170822144,1.377968488183447,34
full_finetune,2009,8,1.086119532585144,0.6915898323059082,1.0421705870850242,34
full_finetune,2009,9,0.8772220015525818,0.6437548398971558,0.9366013034117462,34
full_finetune,2009,10,0.5041665434837341,0.5362538695335388,0.7100468600618793,34
full_finetune,2009,11,1.0658022165298462,0.7315728068351746,1.0323769740409006,34
full_finetune,2009,12,0.9462535977363586,0.6863667964935303,0.9727556721686894,34
full_finetune,2009,13,0.6806550025939941,0.6014858484268188,0.8250181831899186,34
full_finetune,2009,14,0.5921807885169983,0.6383730173110962,0.7695328378418937,34
full_finetune,2009,15,0.39571744203567505,0.5244787931442261,0.6290607617994267,34
full_finetune,2009,16,0.9940499663352966,0.6079038977622986,0.9970205445903794,34
full_finetune,2009,17,0.33817535638809204,0.4687809348106384,0.5815284656730847,34
full_finetune,2009,18,0.7790683507919312,0.6164506673812866,0.8826484865403278,34
full_finetune,2009,19,0.44436556100845337,0.5453267693519592,0.6666075014642825,34
full_finetune,2009,20,0.770995557308197,0.6883066892623901,0.8780635269205737,34
full_finetune,2009,21,0.8689734935760498,0.7273592948913574,0.9321874776975122,34
full_finetune,2009,22,1.0347907543182373,0.6715307831764221,1.0172466536284293,34
full_finetune,2009,23,0.687951922416687,0.6534736752510071,0.8294286722899606,34
full_finetune,2009,24,0.3136556148529053,0.4579068124294281,0.5600496539173159,34
full_finetune,2009,25,1.557193636894226,0.8360539674758911,1.2478756496118617,34
full_finetune,2009,26,0.6956170201301575,0.5588446259498596,0.8340365820095408,34
full_finetune,2009,27,0.9406371712684631,0.611889123916626,0.969864511810007,34
full_finetune,2009,28,0.6300268769264221,0.5196006894111633,0.7937423240110244,34
full_finetune,2009,29,0.4369089901447296,0.574665904045105,0.6609909153269277,34
full_finetune,2009,30,0.5829992890357971,0.6215539574623108,0.7635439011843373,34
full_finetune,2009,31,0.45812490582466125,0.5451375246047974,0.6768492489651305,34
full_finetune,2009,32,0.9350494742393494,0.7066630125045776,0.9669795624724182,34
full_finetune,2009,33,0.5328667163848877,0.5506808161735535,0.7299772026473756,34
full_finetune,2009,34,0.5660327076911926,0.533923327922821,0.752351452242363,34
full_finetune,2009,35,1.2416884899139404,0.7907034754753113,1.1143107690020502,34
full_finetune,2009,36,0.6962295174598694,0.6079959869384766,0.8344036897448797,34
full_finetune,2009,37,0.7773754000663757,0.5477999448776245,0.8816889474561739,34
full_finetune,2009,38,0.8167668581008911,0.7041139006614685,0.9037515466658362,34
full_finetune,2009,39,0.7361475825309753,0.659193217754364,0.857990432657017,34
full_finetune,2009,40,1.4403449296951294,0.8489588499069214,1.2001437121008174,34
full_finetune,2009,41,0.9937454462051392,0.7110518217086792,0.9968678178199651,34
full_finetune,2009,42,0.42820635437965393,0.5305446982383728,0.6543747812833667,34
full_finetune,2009,43,0.4388146996498108,0.5266394019126892,0.6624309017926404,34
full_finetune,2009,44,0.7847231030464172,0.6811487674713135,0.8858459815602355,34
full_finetune,2009,45,0.4496081471443176,0.4846303164958954,0.6705282597656251,34
